instant,date,season,temp,humi,windspeed,casual,registered
1,1/1/2011,1,34.417,8.058,1.604,331,654
2,2/1/2011,1,36.348,6.961,2.485,131,670
3,3/1/2011,1,19.636,4.373,2.483,120,1229
4,4/1/2011,1,20.000,5.904,1.603,108,1454
5,5/1/2011,1,22.696,4.370,1.869,82,1518
6,6/1/2011,1,20.435,5.183,0.896,88,1518
7,7/1/2011,1,19.652,4.987,1.687,148,1362
8,8/1/2011,1,16.500,5.358,2.668,68,891
9,9/1/2011,1,13.833,4.342,3.620,54,768
10,10/1/2011,1,15.083,4.829,2.233,41,1280
11,11/1/2011,1,16.909,6.864,1.221,43,1220
12,12/1/2011,1,17.273,5.995,3.046,25,1137
13,13/1/2011,1,16.500,4.704,3.010,38,1368
14,14/1/2011,1,16.087,5.378,1.265,54,1367
15,15/1/2011,1,23.333,4.988,1.580,222,1026
16,16/1/2011,1,23.167,4.838,1.884,251,953
17,17/1/2011,1,17.583,5.375,1.940,117,883
18,18/1/2011,1,21.667,8.617,1.468,9,674
19,19/1/2011,1,29.217,7.417,2.083,78,1572
20,20/1/2011,1,26.167,5.383,1.959,83,1844
21,21/1/2011,1,17.750,4.571,3.532,75,1468
22,22/1/2011,1,5.913,4.000,1.720,93,888
23,23/1/2011,1,9.652,4.365,2.466,150,836
24,24/1/2011,1,9.739,4.917,1.583,86,1330
25,25/1/2011,1,22.348,6.170,1.298,186,1799
26,26/1/2011,1,21.750,8.625,2.939,34,472
27,27/1/2011,1,19.500,6.875,1.138,15,416
28,28/1/2011,1,20.348,7.930,1.233,38,1129
29,29/1/2011,1,19.652,6.517,1.454,123,975
30,30/1/2011,1,21.652,7.222,0.740,140,956
31,31/1/2011,1,18.083,6.038,1.872,42,1459
32,1/2/2011,1,19.217,8.296,0.532,47,1313
33,2/2/2011,1,26.000,7.754,2.643,72,1454
34,3/2/2011,1,18.696,4.378,2.778,61,1489
35,4/2/2011,1,21.130,5.852,1.278,88,1620
36,5/2/2011,1,23.333,9.292,1.611,100,905
37,6/2/2011,1,28.583,5.683,1.418,354,1269
38,7/2/2011,1,27.167,7.383,0.454,120,1592
39,8/2/2011,1,22.083,5.379,3.620,64,1466
40,9/2/2011,1,13.478,4.948,1.888,53,1552
41,10/2/2011,1,14.435,4.374,2.219,47,1491
42,11/2/2011,1,18.909,5.064,1.086,149,1597
43,12/2/2011,1,22.250,5.442,2.034,288,1184
44,13/2/2011,1,31.652,4.574,2.609,397,1192
45,14/2/2011,1,41.500,3.758,4.179,208,1705
46,15/2/2011,1,26.609,3.143,2.914,140,1675
47,16/2/2011,1,31.826,4.235,2.518,218,1897
48,17/2/2011,1,43.583,5.050,2.301,259,2216
49,18/2/2011,1,52.167,5.167,2.649,579,2348
50,19/2/2011,1,39.917,1.879,5.075,532,1103
51,20/2/2011,1,28.522,4.078,2.232,639,1173
52,21/2/2011,1,30.333,6.050,3.078,195,912
53,22/2/2011,1,18.222,5.778,1.957,74,1376
54,23/2/2011,1,22.174,4.230,0.941,139,1778
55,24/2/2011,1,29.565,6.974,2.505,100,1707
56,25/2/2011,1,36.435,7.122,3.465,120,1341
57,26/2/2011,1,28.250,5.379,1.866,424,1545
58,27/2/2011,1,34.348,6.800,1.252,694,1708
59,28/2/2011,1,40.727,8.764,2.897,81,1365
60,1/3/2011,1,26.667,5.350,2.164,137,1714
61,2/3/2011,1,33.500,4.496,3.078,231,1903
62,3/3/2011,1,19.833,3.183,2.258,123,1562
63,4/3/2011,1,26.167,6.104,2.033,214,1730
64,5/3/2011,1,38.417,7.892,2.519,640,1437
65,6/3/2011,1,37.652,9.483,3.433,114,491
66,7/3/2011,1,26.174,5.513,3.414,244,1628
67,8/3/2011,1,29.250,4.208,1.207,316,1817
68,9/3/2011,1,29.583,7.754,2.202,191,1700
69,10/3/2011,1,38.909,0.000,2.619,46,577
70,11/3/2011,1,31.652,6.496,2.330,247,1730
71,12/3/2011,1,32.917,5.946,2.208,724,1408
72,13/3/2011,1,38.435,5.274,2.706,982,1435
73,14/3/2011,1,32.522,4.970,1.369,359,1687
74,15/3/2011,1,31.739,6.557,1.843,289,1767
75,16/3/2011,1,36.522,7.765,2.031,321,1871
76,17/3/2011,1,41.500,6.029,2.096,424,2320
77,18/3/2011,1,54.000,5.252,2.310,884,2355
78,19/3/2011,1,47.250,3.792,3.682,1424,1693
79,20/3/2011,1,33.250,4.738,2.077,1047,1424
80,21/3/2011,2,43.044,7.374,2.888,401,1676
81,22/3/2011,2,44.167,6.246,2.258,460,2243
82,23/3/2011,2,34.696,8.396,2.343,203,1918
83,24/3/2011,2,28.500,8.058,2.438,166,1699
84,25/3/2011,2,26.417,4.950,2.307,300,1910
85,26/3/2011,2,26.583,3.942,2.096,981,1515
86,27/3/2011,2,25.304,4.939,1.843,472,1221
87,28/3/2011,2,26.435,3.022,2.122,222,1806
88,29/3/2011,2,30.250,3.142,2.270,317,2108
89,30/3/2011,2,30.000,6.467,1.729,168,1368
90,31/3/2011,2,26.833,9.183,2.176,179,1506
91,1/4/2011,2,30.000,6.863,2.587,307,1920
92,2/4/2011,2,31.500,6.538,1.971,898,1354
93,3/4/2011,2,37.833,4.800,1.822,1651,1598
94,4/4/2011,2,57.333,4.263,3.856,734,2381
95,5/4/2011,2,41.417,6.421,3.881,167,1628
96,6/4/2011,2,39.083,4.708,2.631,413,2395
97,7/4/2011,2,43.750,6.029,1.623,571,2570
98,8/4/2011,2,33.583,8.363,2.270,172,1299
99,9/4/2011,2,34.250,8.775,1.331,879,1576
100,10/4/2011,2,42.667,8.575,1.468,1188,1707
101,11/4/2011,2,59.565,7.170,3.245,855,2493
102,12/4/2011,2,50.250,7.392,2.749,257,1777
103,13/4/2011,2,41.250,8.192,2.506,209,1953
104,14/4/2011,2,46.750,5.404,1.107,529,2738
105,15/4/2011,2,44.667,6.713,2.264,642,2484
106,16/4/2011,2,43.083,8.883,3.408,121,674
107,17/4/2011,2,45.667,4.796,3.035,1558,2186
108,18/4/2011,2,51.250,5.425,1.636,669,2760
109,19/4/2011,2,50.583,6.658,1.580,409,2795
110,20/4/2011,2,59.500,6.142,2.419,613,3331
111,21/4/2011,2,45.917,4.071,3.253,745,3444
112,22/4/2011,2,33.667,7.296,2.195,177,1506
113,23/4/2011,2,46.000,8.879,2.307,1462,2574
114,24/4/2011,2,58.167,8.108,1.922,1710,2481
115,25/4/2011,2,60.667,7.767,1.853,773,3300
116,26/4/2011,2,63.167,7.292,3.265,678,3722
117,27/4/2011,2,62.000,8.354,3.122,547,3325
118,28/4/2011,2,61.750,7.008,3.209,569,3489
119,29/4/2011,2,51.000,4.571,2.401,878,3717
120,30/4/2011,2,47.250,5.033,2.351,1965,3347
121,1/5/2011,2,45.167,7.621,1.064,1138,2213
122,2/5/2011,2,54.917,7.300,1.835,847,3554
123,3/5/2011,2,61.667,6.971,3.427,603,3848
124,4/5/2011,2,41.417,7.371,3.290,255,2378
125,5/5/2011,2,45.917,4.442,2.954,614,3819
126,6/5/2011,2,47.917,5.900,2.282,894,3714
127,7/5/2011,2,52.000,5.413,1.605,1612,3102
128,8/5/2011,2,52.833,6.317,0.746,1401,2932
129,9/5/2011,2,53.250,5.888,1.760,664,3698
130,10/5/2011,2,53.250,4.892,1.157,694,4109
131,11/5/2011,2,54.250,6.329,1.206,550,3632
132,12/5/2011,2,53.500,7.475,1.897,695,4169
133,13/5/2011,2,51.250,8.633,1.797,692,3413
134,14/5/2011,2,52.083,9.225,1.350,902,2507
135,15/5/2011,2,56.250,8.671,1.530,1582,2971
136,16/5/2011,2,57.750,7.879,1.269,773,3185
